Source,Target,Type
1590063878511410000,207392880,Directed
1590063878511410000,1519350000000000000,Directed
1590063878511410000,299385432,Directed
1590063878511410000,2467929380,Directed
1590063878511410000,273826212,Directed
1590063878511410000,1612590000000000000,Directed
1590063878511410000,1631290000000000000,Directed
1590063878511410000,1586470000000000000,Directed
1590063878511410000,1554870000000000000,Directed
1590063878511410000,1580720000000000000,Directed
1590063878511410000,1471650000000000000,Directed
1590063878511410000,1300290000000000000,Directed
1590063878511410000,2304035530,Directed
1590063878511410000,1246500000000000000,Directed
1590063878511410000,1609280000000000000,Directed
1590063878511410000,1580180000000000000,Directed
1590063878511410000,1136600000000000000,Directed
1590063878511410000,1380610000000000000,Directed
1590063878511410000,1229170000000000000,Directed
1590063878511410000,1038520000000000000,Directed
1590063878511410000,210613177,Directed
1590063878511410000,1647708608,Directed
1590063878511410000,1617330000000000000,Directed
1590063878511410000,853442000000000000,Directed
1590063878511410000,1558230000000000000,Directed
1590063878511410000,1260012025,Directed
1590063878511410000,236515608,Directed
1590063878511410000,1581840000000000000,Directed
1590063878511410000,1545660000000000000,Directed
1590063878511410000,1388640000000000000,Directed
1590063878511410000,1592000000000000000,Directed
1590063878511410000,1490760000000000000,Directed
1590063878511410000,14164297,Directed
1590063878511410000,100277835,Directed
1590063878511410000,1155460000000000000,Directed
1590063878511410000,73050109,Directed
1590063878511410000,754891000000000000,Directed
1590063878511410000,1570430000000000000,Directed
1590063878511410000,349934973,Directed
1590063878511410000,1424291652,Directed
1590063878511410000,3031148024,Directed
1590063878511410000,1295960000000000000,Directed
1590063878511410000,1481800000000000000,Directed
1590063878511410000,1514230000000000000,Directed
1590063878511410000,1063700000000000000,Directed
1590063878511410000,436042034,Directed
1590063878511410000,3027501062,Directed
1590063878511410000,1540670000000000000,Directed
1590063878511410000,854011000000000000,Directed
1590063878511410000,1179700000000000000,Directed
1590063878511410000,1508490000000000000,Directed
1590063878511410000,553440081,Directed
1590063878511410000,2889557704,Directed
1590063878511410000,1309610000000000000,Directed
1590063878511410000,756597997,Directed
1590063878511410000,2263258463,Directed
809219187386306000,1628830000000000000,Directed
809219187386306000,1403990000000000000,Directed
809219187386306000,1629430000000000000,Directed
809219187386306000,1624190000000000000,Directed
809219187386306000,1616460000000000000,Directed
809219187386306000,1567560000000000000,Directed
809219187386306000,1602250000000000000,Directed
809219187386306000,1606690000000000000,Directed
809219187386306000,1624010000000000000,Directed
809219187386306000,1499550000000000000,Directed
809219187386306000,1623200000000000000,Directed
809219187386306000,1392880000000000000,Directed
809219187386306000,953911000000000000,Directed
809219187386306000,1017270000000000000,Directed
809219187386306000,1605160000000000000,Directed
809219187386306000,1623290000000000000,Directed
809219187386306000,1623990000000000000,Directed
809219187386306000,1408410000000000000,Directed
809219187386306000,1623640000000000000,Directed
809219187386306000,1615380000000000000,Directed
809219187386306000,1623260000000000000,Directed
809219187386306000,593607042,Directed
809219187386306000,1570350000000000000,Directed
809219187386306000,1623020000000000000,Directed
809219187386306000,1622540000000000000,Directed
809219187386306000,2177498802,Directed
809219187386306000,1621750000000000000,Directed
809219187386306000,1431870000000000000,Directed
809219187386306000,1620060000000000000,Directed
809219187386306000,1526450000000000000,Directed
809219187386306000,1535540000000000000,Directed
809219187386306000,1617850000000000000,Directed
809219187386306000,888974000000000000,Directed
809219187386306000,1551820000000000000,Directed
809219187386306000,1554420000000000000,Directed
809219187386306000,918475000000000000,Directed
809219187386306000,1605500000000000000,Directed
809219187386306000,788530000000000000,Directed
809219187386306000,1561680000000000000,Directed
809219187386306000,1604730000000000000,Directed
809219187386306000,1613940000000000000,Directed
809219187386306000,987779000000000000,Directed
809219187386306000,1604730000000000000,Directed
809219187386306000,1613200000000000000,Directed
809219187386306000,1255500000000000000,Directed
809219187386306000,1469650000000000000,Directed
809219187386306000,1555840000000000000,Directed
809219187386306000,1365350000000000000,Directed
809219187386306000,933349000000000000,Directed
809219187386306000,1510930000000000000,Directed
809219187386306000,2594558100,Directed
809219187386306000,522436069,Directed
809219187386306000,1136120000000000000,Directed
809219187386306000,782313566,Directed
809219187386306000,1372920000000000000,Directed
809219187386306000,1093780000000000000,Directed
809219187386306000,1263420000000000000,Directed
809219187386306000,1073640000000000000,Directed
809219187386306000,857182000000000000,Directed
809219187386306000,1571380000000000000,Directed
809219187386306000,1606680000000000000,Directed
809219187386306000,1121030000000000000,Directed
809219187386306000,1475360000000000000,Directed
809219187386306000,925410000000000000,Directed
809219187386306000,1606460000000000000,Directed
809219187386306000,1569390000000000000,Directed
809219187386306000,1560510000000000000,Directed
809219187386306000,1552580000000000000,Directed
809219187386306000,1605980000000000000,Directed
809219187386306000,1569780000000000000,Directed
809219187386306000,1604080000000000000,Directed
809219187386306000,1600160000000000000,Directed
809219187386306000,767963000000000000,Directed
809219187386306000,1561650000000000000,Directed
809219187386306000,1601760000000000000,Directed
809219187386306000,1600110000000000000,Directed
809219187386306000,1066580000000000000,Directed
809219187386306000,2923792434,Directed
809219187386306000,968788000000000000,Directed
809219187386306000,1579470000000000000,Directed
809219187386306000,990126000000000000,Directed
809219187386306000,4850017483,Directed
809219187386306000,1280150000000000000,Directed
809219187386306000,1588560000000000000,Directed
809219187386306000,1575890000000000000,Directed
809219187386306000,887284000000000000,Directed
809219187386306000,1448710000000000000,Directed
809219187386306000,1657761703,Directed
809219187386306000,1496100000000000000,Directed
809219187386306000,1321780428,Directed
809219187386306000,1427200000000000000,Directed
809219187386306000,1568460000000000000,Directed
809219187386306000,261249836,Directed
809219187386306000,1211140261,Directed
809219187386306000,1573680000000000000,Directed
809219187386306000,1506950000000000000,Directed
809219187386306000,1012640000000000000,Directed
809219187386306000,1103960000000000000,Directed
809219187386306000,1560590000000000000,Directed
809219187386306000,1353600000000000000,Directed
809219187386306000,1561610000000000000,Directed
809219187386306000,1564790000000000000,Directed
809219187386306000,1468800000000000000,Directed
809219187386306000,1533670000000000000,Directed
809219187386306000,1543190000000000000,Directed
809219187386306000,1547150000000000000,Directed
809219187386306000,1550130000000000000,Directed
809219187386306000,1545390000000000000,Directed
809219187386306000,1256480000000000000,Directed
