Id,Label,name,friendsCount,followersCount
756597997,monasobhaniphd,"Mona Sobhani, PhD",890,505
2263258463,realcebk_hope,Realceb'k_hope,810,942
1628830000000000000,sifarjun,Arjun Singh,628,160
1403990000000000000,SomiaBhandari,Somia Bhandari 325 FLWRS,1465,333
1629430000000000000,PoojaRa86067890,Pooja Raj,2,0
1624190000000000000,Abhishe14361843,Abhishek Tomar,51,15
1616460000000000000,Sangeet23202022,Sangeeta Pandey,6,3
1567560000000000000,ManojBh44702090,Manoj Bhatt REAP Haldwani Nainital,138,33
1602250000000000000,skb_bhatt,Sunil Kumar Bhatt,51,24
1606690000000000000,SapnaBisht04,Sapna Bisht,12,9
1624010000000000000,Haldwani_RDUK,Haldwani_RDUK,40,21
1499550000000000000,manojasarma11,मनोज कुमार शर्मा,402,40
1623200000000000000,Gangolihat_rduk,Gangolihat Rduk,48,8
1392880000000000000,ICHF_India,International Centre for Humanitarian Forensics,127,316
953911000000000000,NeerajRawatNR,Neeraj Rawat💎,3118,4326
1017270000000000000,Ritz24136889,Ritz,632,30
1605160000000000000,Satpalsingh1980,Satpal Singh,555,135
1623290000000000000,DidihatRDUK,Didihat RDUK,40,15
1623990000000000000,PithoragarhR,Pithoragarh _RDUK,28,19
1408410000000000000,DrLSSamant1,Dr L. S Samant,132,72
1623640000000000000,BhawnaKapri,Bhawana Kapri,28,8
1615380000000000000,BDOMUNAKOT1,BDOMUNAKOT,9,6
1623260000000000000,munakot,Munakot_RDUK,44,24
593607042,kostuvpandey,kostuv pandey,30,11
1570350000000000000,BKanalichina,BDO KANLICHHINA,14,4
1623020000000000000,kanalichinaRDUK,Kanalichina_RDUK,68,40
1622540000000000000,pinky_paliwal,Pinky Paliwal,14,6
2177498802,BasuClimber,Basu Pandey,16,12
1621750000000000000,ravimahar001,Ramesh Mahar,18,14
1431870000000000000,abhishekb631,Abhishek Bhandari,12,2
1620060000000000000,RekhaBhandari27,Rekha Bhandari,21,20
1526450000000000000,drpankajjoshi96,Dr Pankaj Joshi Dy CVO Pithoragarh,183,207
1535540000000000000,ANSHULKARANWAL5,ANSHUL KARANWAL,656,310
1617850000000000000,MojiGold6,Moji Gold,91,14
888974000000000000,deepakuk05,Deepak,46,0
1551820000000000000,REAPPithoragarh,REAP Pithoragarh,60,261
1554420000000000000,AmitNautiya1989,Amit Nautiyal,100,114
918475000000000000,HarshitTewari7,Harshit Tewari,91,20
1605500000000000000,pandeyarchit23,Avnish Pandey,186,77
788530000000000000,Mukeshrajwar4,Mukesh rajwar,61,9
1561680000000000000,KKJoshi90,K K Joshi,37,34
1604730000000000000,naveenj63488150,naveen joshi,30,19
1613940000000000000,ShobhitPandeysp,Shobhit Pandey,51,32
987779000000000000,AdeshTripathee,Adesh Tripathee,2372,472
1613200000000000000,MohitJo19245730,Mohit Joshi(MJ),56,6
1255500000000000000,Saurabh32734437,Saurabh chand,25,3
1469650000000000000,alokkmohan,Alok Mohan,222,499
1555840000000000000,Rajendr13836686,Rajendra singh Bisht,200,43
1365350000000000000,jayjevan,Jay Uttarakhand ,679,66
933349000000000000,DcpPaintola,Deepak M N Paintola,5001,127
1510930000000000000,gadwali3231,घपरोल,532,49
2594558100,kanwal_ns,Kanwal,1707,0
522436069,kavibhakuni,Kavi Bhakuni,910,278
1136120000000000000,IySDNEjE3FAXptx,Pahadi bhula negi da,841,30
782313566,yashkhati,imYashkhati@nainital(uk),1752,87
1372920000000000000,NaveenJ88472730,Naveen Joshi,246,22
1093780000000000000,UttarpathUK,उत्तरपथ. उत्तराखंड,8486,7835
1263420000000000000,pankajchhetri_,पंकज क्षेत्री 🇮🇳,5021,4572
1073640000000000000,Drunken_sailor9,Michael Joshi⭐✨,433,306
857182000000000000,HarishS13965071,Harish Bisht,469,200
1571380000000000000,harendra287,Harendra Singh Pawar,34,14
1606680000000000000,rkyadav6419,Rakesh Yadav,199,74
1121030000000000000,subhashpeehu,Subhash Chandra Joshi,31,24
