Id,Label,name,friendsCount,followersCount
1215168834904050000,SyedAij50913533,Syed Aijaz ALi,20,0
1511292471485120000,madhawaedu,Madhawa Edussuriya,2947,203
1637526278629880000,Ali21Crazy91337,Crazy Ali21,5,0
1230675908014430000,pol84958499,Polko,58,0
1637522642893670000,nlathiya565,Nirav Patel,485,8
121011438,ASHOKSARAWAGI,ASHOK KUMAR SARAWAGI,175,29
1414306112766020000,goanbynature,goanbynature,54,0
925496598653784000,IamAdityaBhatia,Aditya,93,9
1600070868440610000,RameezMeman,rameez meman,38,0
1505189705456910000,SudarshanHarad1,Sudarshan Gopalakrishna Haradur,418,0
734432197155770000,WalkingEarthnow,The One who Knows,488,132
1187683183216610000,PRATAPJENA_,PRATAP KUMAR JENA,35,580
1227515238087410000,ankurmehta011,Ankur Mehta,457,28
1500488005450330000,MaheshP2122,Mahesh Prabhu,27,1
1256464911368150000,ROHITRA04462335,Rohit Ranjan,218,10
1637487922050990000,Nareshlodhi1998,Naresh Lodhi,18,0
1544286748477640000,dr_ajay_purani,ajay purani,43,0
1578206329809810000,PANKAJPARKHE151,PANKAJ PARKHE,562,33
2936089897,rajivsingh_11,Rajiv Singh,3993,466
1637421684109040000,JerkIndian00021,indian jerk,56,1
1637496679237840000,Dharmesh704525,Dharmesh Pandey,55,1
1250353051451310000,vikas1517,Hardik Sharma,44,8
740061020,singh_nike,Abhimanyu Singh,72,2
1593562365748210000,Gajendr68430137,Gajendra Swami,2,0
132461064,deepakbari3,Deepak Bari,196,54
177895034,voiceofCM_India,Madhu D H,1203,126
1637474506469000000,SathvikShe97151,Sathvik Shetty,13,0
1569921258548240000,AnchalS50503949,Manoj sharma,85,3
1637478356282220000,SonikaPara27054,Sonika Parashar,22,1
1593230300741430000,Shubham23018ss,Shubham Mali,34,0
1585879702543030000,Aditya_Hapaliya,ADITYA HAPALIYA🔱,206,14
1451964508944030000,vanjara_hardik,Hardik Vanjara,91,0
2311481395,kattaPrathap,katta prathap,33,3
1612856230451760000,SharltonStann,Sharlton Stann,20,1
947789538,shreyesmohanya,Shreyes m,926,50
1293586943003850000,Avinash47510634,Avinash,18,0
1591006169715250000,YOGESHM95921366,Baliraja Krishi Bahudeshiya Sanstha,72,1
1613345532088570000,Jitendr32039242,Jitendra Kumar Rajvanshi,419,44
1467165467282340000,MdShahb91297363,Md Shahbaaz,136,2
1636354555834180000,asiatradz,AsiaMatters,272,3
1469448379310620000,UdayVungurala,Uday prakash vungurala,195,10
1390067325089590000,kolawolebolaj23,kolawolebolaji,533,49
1457432411587760000,deepkhatri19692,Deep Khatri,18,0
2989372120,nimjema,Mangesh Nimje,410,14
1637425347875550000,RamChoudhr32931,Ram Choudhry,17,0
1226343190950660000,VishuHadake,Vishwajeet Hadake ,140,48
1637414041831210000,AayK9622024354,Aay K,13,0
1637412658008790000,amiyasaha008,Amiya Saha,39,0
1399745287715900000,ArunavoChakrab4,Arunavo Chakraborty,933,132
1575498671465970000,Philip8Akande,Akande Philip,243,2
1308787073130860000,Santosh49197862,Sαɳƚσʂԋ KυɱαR,3462,533
1637401984570400000,RohanSonwane05,Rohan Sonwane,39,0
1425206665196930000,_mohdfaiz_mf_,Mohammad Faiz khan,28,3
104424572,vishnupatekar,Vishnu Patekar - Your Technology Partner!,1015,159
987617155347722000,Krishnahahahha,Krishna Vardhan,356,14
1558024980923030000,omkar_avasare,Omkar Avasare,42,1
1207613209043050000,hallendevid,hay,197,16
3147983058,ikpsgill1,Dr Gill,819,137469
117800926,HaramiParindey,Pakchikpak Raja Babu,413,154018
178358867,swatic12,SwatKat💃,438,132860
3809480178,xavierunclelite,Xavier Uncle,7541,97347
912253176,meme_ki_diwani,Shivani,707,48308
3868003454,EducatedMoron,The Educated Moron,688,54559
1262307757945840000,MSDianAbhiii,Abhishek,996,28494
957742375,RomanaRaza,🇮🇳 رومانا,259,58657
755672251832217000,theprayagtiwari,Prayag,389,44930
1703902436,NeecheSeTopper,Neeche Se Topper,699,37103
1028152356137880000,Memeswalaladka,rozgar_CA,1066,13363
62766520,Madan_Chikna,Godman Chikna,497,132904
1361669091157710000,kadaipaneeeer,Shubh,986,21772
720844501804167000,Sassy_Soul_,Aditi.,485,70624
128529833,Puneite_,Prithvi,1675,16409
1315900388457930000,shibhhuu,Shibhhuu,311,19591
744478728651079000,Pagal_aurat,Tweet Chor👑,290,30107
871636560256487000,shivani_yaar,Shivani,3309,28791
1355525185609150000,daalmakhniiii,S.,887,28803
1635703457813230000,Pb05Pov,Pb05POV,232,8
1622294878700060000,AdnanKh05550934,Adnan Khan,473,8
1219809595750670000,NikhilA26615071,N,59,0
1636515460010180000,__HEISEHIJE2,EHIJE💫,178,7
908185016026374000,imSachinvirat,stewie griffin,101,24
1294945546931580000,anjalig22,🍂,576,0
1613844272381580000,sana_sonar,Sana Sonar,374,230
1363147146480860000,AlokDas_17,Alok Das,594,11
1185802680045730000,mondal_sandhay,sandhay mondal,58,9
1269973483359890000,Shivoham,Shivoham,1755,1988
1637486375019630000,feisty_fuwn,Tsan,45,1
1415535414090370000,losersmindset,Losers Mindset,16,7
1635445438118520000,imravisgh,Ravi,78,0
1217107521652970000,chandnee__,GracYStař,449,50
889875840917532000,Rishabh74835716,Rishabh Rao,977,880
1558872400481070000,arham_dehelvi,Arham dehelvi,38,2
1505812165403490000,XindumYT,X1ndum,887,181
1636086832093080000,imparulchopra,Parul Chopra,70,7
1260217377515540000,_foring,FORING ,4666,197
2636153538,macandcheesish,trying to be mysterious,4304,13732
1713623575,aneesmasoodi4u,Anees Masoodi,380,104
1339541314854100000,JahnaviVaish,Jahnavi_Vaish,135,1
849091859326566000,themkaiq,Quresh🍺,290,112
1579897201236800000,spiritualvodka_,Nisha Srivastava,101,1
1637354520559910000,PiyushB81,Piyush Banerjee,134,1
1624973103435600000,SamiUllah357786,Sami Ullah,181,4
904080350564859000,NirvidhPatel,nirvidh,649,33
1637422041887540000,Sandeepd1418,Sandeep Dalal,318,3
1483723648095910000,toxic_girrl,MemeWaliChhori,31,0
1068325652888050000,calm_vishu,ABD,693,95
1304530714151400000,thegauravjain_,Gaurav Jain,2218,1022
1548109980154620000,Ark11_11,Ark,342,16
1565253512815980000,simdafo,MSD,369,0
1406593686293540000,pratham8001,Dark humōr,2410,61
1402986200227400000,theotherhassan,حسن,170,0
1636227589705480000,BreezeboyGO,breezeboy G.O,194,10
1635919878078040000,choudharyh95,harsh choudhary,47,3
1058892246525890000,bussinNav,nav,87,19
1445098937421940000,justnottamomma,Shikha Pruthi Gupta✨✳️♥️,392,5300
1384394555508750000,49Yadnesh,Yadnesh`49,7,0
1177115540,vivek_anant,Vivek Anant,671,92
2657838880,SagarTathode,Sagar Tathode,1197,33
1295995228298580000,Arindam16803674,Arindam mandal,1737,24
1510158332950150000,AkinkunmiWaris,Waris Akinkunmi,204,23
2283326648,prakdadlani,Prakash Dadlani,1872,157
1329254091063650000,Harshal45199359,Harshal,82,27
114180327,hemanshu1909,Hemansshu Paatel,940,63
1384012213870940000,samguy3103,Samyak Jain,142,42
1085257524066930000,SwakkharNandy,Swakkhar Nandy,71,432
1272097637089460000,nerdy_naman,Naman,418,6
1637009774293270000,ashwanisoni964,Ashwani soni,143,3
1859629136,by2tea_,ಪ್ರವೀಣ್ | Praveen ,960,924
1636705432549870000,b_himanee,Himanee Bhadane,25,0
1622254231716770000,yaartubhinaa,The Guy Next Door,2558,280
1569762693304950000,Dhrm652002Singh,Dharmendra Singh Rajpurohit,347,13
1636554198782480000,harshiiittt,Harshit K,493,2
1607097745814450000,Zeher_11,💫,271,8
1608751089763120000,MR_NITISH_JI,мя.ηιтιѕн,227,149
1591019509284240000,rptShkl3,𝐀𝐫𝐩𝐢𝐭 𝐒𝐡𝐮𝐤𝐥𝐚 ♥️,194,8
1617343283897990000,Arkizatyourdesk,Arkaprava Bhattacharya(LarryDArk),366,14
1631987306054790000,AaravSi91455940,Aarav Singh,44,0
1473331598305070000,Saumya034500161,Jolie,451,7
1576281131078380000,SrujanK95,Srujan Kumar,207,7
850056460415455000,RFatima__,Rida.,428,25452
1466811161668630000,mee_di23,MD,256,21
1636472434558640000,NalubegaJo55628,Nalubega Josephine,132,2
912334589103763000,LaskarAbbi,Abhijit Laskar,514,9
1457317456821640000,Payal_Dcosmos,Payal Sharma,385,1197
318990117,AnshujGupta,Anshuj Gupta,138,15
1136911100027390000,Rimi2129,Rimi_😍#OurBloomingYouth 2/6 tvN/Viki,491,97
1357285458179280000,vijayjitendas,Vijay Jiten Das,20,1
908911134043914000,dukhlord,Raghav,194,195
1209042510749650000,saksham_akku,Saksham Tiwari,131,8
1608102021642550000,benon_okwi,✨ NASDAQ 🇰🇪 ✨🗽📈,931,435
1635944961911700000,RajatSingh38442,Rajat Singh parihar,76,4
1636695289598820000,nauutankii,Kaafi,14,2
1610880241,sujitzugare2,sujit zugare,1605,212
1621803557459740000,Pr76805861,Priyanka,59,0
69643687,manishbalani,Manish Balani,2062,58
1522265872135440000,Himanshiii_T,Himanshiii Tripathi,44,4
1570371697340980000,BVelogs,Bahzad,28,39
974937108203831000,khari_bat,bebak,421,16
1075069201377830000,therdmeme,⚡R D 📖,678,14870
1508491950856730000,Dutta18Deb,Debarshi Dutta,214,6
1608493530674090000,fatima_Ahmed71,Fatima Ahmed,249,25
1636539540440590000,mihgostosinha,Mih gostosa +18,113,6
1245683055655710000,northa_13,Uttara Shrivastava,334,43
1636568599178400000,sanyaa_r6,sanyaa.ahaa,28,0
813990598575149000,diksha_sp,Diksha Patil,125,4
1636530564575400000,Ranjeet18215433,Ranjeet Ranjeet,44,2
1490751224299220000,Sant52961774,Sant,1281,34
2912606494,UmarUsmanNasidi,S A R D A U N A,3462,196
1623949658983620000,AbramOkiror,Okiror Abram,111,4
862328100050358000,bhargavt9,bhargav.t,1763,47
1564993710353390000,DavidMi18111792,David Miller,262,5
1226895735687270000,mayank_twts,Mayank Verma,1109,1994
1458278154607360000,veerio08,Kushagra Veer Singh,225,8
1636186565587210000,Deep_1045,Deep singh,298,15
1635376060450710000,Mrnotsofunnyguy,A,38,3
1618883307424600000,HetviChauhan12,Hetvi Chauhan,46,0
1635619834321870000,SinghAnuj30621,Anuj Singh,14,2
1309789897297800000,chaii_garamm,Chaitanya,133,62
1581982146763190000,MUJAHID2201,POSTING SHIT,75,6
1257164308028420000,MohitBalwal1,Mohit Balwal,59,3
1357543056363320000,officialrajume1,official raju mehra 786,129,6
1636383271927050000,MushiweMuwezwa,mushiwe muwezwa,96,4
1596711012274610000,AtulyaM99297069,Atulya Mishra,182,42
1555492250138080000,PopeyeLegend,Tweeter,550,17
1634611106948730000,Vaibhamg_75,Vaibhav MG,98,1
1351353060220490000,Nandan88933468,Nandankumar,524,21
856155868274020000,VoraTanay,Tanay Vora,57,21
1228346801276820000,AbdulRahmanSh87,Abdul Rahman Shah,63,9
280892445,arpit5ingh,Arpit,110,78
1185099201434170000,Anteryamiiii,Sumit✨,300,1451
2998431577,luckycool077,Bhupendra Singh,131,22
1357011101934770000,westrangers1,we_strangers__,72,11
822475044865638000,Nadir_Nizar1,Nadir Shah,2780,128
1635502427544720000,NaveedK12267657,Naveed Khan,217,5
1585310143633410000,Mtha__,Mtha,703,153
1593838498724780000,azhantweetss,AZHAN,63,1
1425682609900720000,SRKz_Deep,ᴍʀ.ᴅᴇᴇᴘ𓀠,503,258
1145679483996740000,shethb01,B Sheth,163,8
917838633188520000,Kevinoza55,Kevin Oza,31,30
888243813663129000,shashvat_barot,Shashvat barot,471,72
1260281628921920000,mehakisfun,Dr. Mehak,746,3443
1635667276212090000,kanhagokul5,"कान्हा, ॥राम कृष्ण हरी॥",145,37
1635578661272160000,EricsonZin40901,Zino Ericson,170,15
1600377652988500000,0Viku,Liker_ Hoon,359,12
1636085646274980000,lakshitaa2615,lakshita,18,0
1634820144881880000,ayushmishra_18,Ayush Mishra,60,3
1547972776174420000,Itsmady4,Màdy,119,29
1636004288005580000,MultiSpeedy,Multi Speedy,15,0
1620631984073770000,Sangam56050468,Sangam,56,1
3080411125,AnkitaSoharia,Ankita Soharia,378,8
412408412,Dabbu635,kalua,1470,79
1529768286266990000,Uday775026514,Uday,1243,94
1352458477487090000,Rishabh58335762,Rishabh Tiwari,182,11
1586283301093850000,gaadiudanewala,Fugga,73,3
1636001410683630000,Honeycoomb45057,Jen Honeycoombe,5,0
1496159880754780000,Mdhv0506,Madhav Soni,30,1
1635936382026760000,Roy_nishu99,Nishu,31,1
1635974944159820000,AmerjeetNi96304,Amerjeet Nishad,12,1
1555224217033270000,JSahithipriya,Sahithiiiii,326,36
1622853003329030000,raah_mein,Raah Mein,30,0
1632595327424290000,MrVicky37213706,Mr Vicky,19,0
3725920951,KaroBargain,KaroBargain.com,241,1295
1635748150181800000,vaghela_0805,Krisha Vaghela,7,0
1536047911276000000,dhwaniisoni,Dhwani,167,194
1336196472,KadvaSaeed,saeed kadva,3127,317
1450039508959850000,namsslayy,𝓝𝓪𝓶,3624,205
1635248547997130000,slayersuraj,Suraj Kumar,75,3
1304298558791710000,_sayon___,Sayon,156,42
1621030803970060000,Akku04033245,Akku,19,6
1635563601183250000,tiwarisaysalot,Shubham tiwari,97,7
1634564336755820000,Souravwav,Sourav,31,1
1454855768407250000,mehulll294,Mehul,123,12
1263118301200350000,Abhi2282000,Abhishek Bhargava,694,26
1634096313871780000,iamsreewidhya,Sree Widhya,75,7
