Source,Target,Type
114203360,1634549911978110000,Directed
114203360,1495728638699840000,Directed
114203360,1149930514112900000,Directed
114203360,3295153088,Directed
114203360,700585381578715000,Directed
114203360,774826924161929000,Directed
114203360,1349619738872180000,Directed
114203360,1601519354004520000,Directed
114203360,305009455,Directed
114203360,1621810154751780000,Directed
114203360,1635856199978450000,Directed
114203360,739174760,Directed
114203360,1637100956369160000,Directed
114203360,1636013143552930000,Directed
114203360,3193535792,Directed
114203360,3100050108,Directed
114203360,1529885826426860000,Directed
114203360,1621179360345750000,Directed
114203360,1082004020,Directed
114203360,1484237392215400000,Directed
114203360,1565190133191960000,Directed
114203360,1628472459623280000,Directed
114203360,3945159612,Directed
114203360,1175441328412460000,Directed
114203360,1636767297942560000,Directed
114203360,19220417,Directed
114203360,34099627,Directed
114203360,1139816990695010000,Directed
114203360,1244138807101770000,Directed
114203360,2897048110,Directed
114203360,1637489756773940000,Directed
114203360,1379039866034380000,Directed
114203360,1582021930894310000,Directed
114203360,1363227172635250000,Directed
114203360,1424397794396210000,Directed
114203360,917339672,Directed
114203360,1636219772319810000,Directed
114203360,14843640,Directed
114203360,1574694633476840000,Directed
114203360,1568283255366970000,Directed
114203360,1637306186130230000,Directed
114203360,1228079370448880000,Directed
114203360,1452341745912450000,Directed
114203360,1555365082241980000,Directed
114203360,102685575,Directed
114203360,1631956789473200000,Directed
114203360,1526520767893990000,Directed
114203360,1636198537393250000,Directed
114203360,1391457720797070000,Directed
114203360,710419197008830000,Directed
114203360,1569870961,Directed
114203360,1597512601029800000,Directed
114203360,1618913152770670000,Directed
114203360,1603209768730060000,Directed
114203360,1046302782041410000,Directed
114203360,942285988054810000,Directed
114203360,1275316753250140000,Directed
114203360,51993285,Directed
114203360,1447913108765220000,Directed
114203360,1234856900140740000,Directed
114203360,1852120736,Directed
114203360,1596541898822650000,Directed
114203360,1632981918491740000,Directed
114203360,1440637325768150000,Directed
114203360,877971877091696000,Directed
114203360,1304530714151400000,Directed
114203360,914109847498579000,Directed
114203360,2296496252,Directed
114203360,1530195645902070000,Directed
114203360,1636079508355670000,Directed
114203360,1636256281433440000,Directed
114203360,1521413896795470000,Directed
114203360,1496193049025650000,Directed
114203360,3303428567,Directed
114203360,815206260580745000,Directed
114203360,1547145037401780000,Directed
114203360,1602713463444440000,Directed
114203360,1576281131078380000,Directed
114203360,4360494136,Directed
114203360,1636364069522530000,Directed
114203360,73449263,Directed
114203360,1637123994829870000,Directed
114203360,1264924443899350000,Directed
114203360,1593472588516580000,Directed
114203360,1362331991517980000,Directed
114203360,1637077388579170000,Directed
114203360,1632384601162400000,Directed
114203360,1635874901729980000,Directed
114203360,1525601180453420000,Directed
114203360,1629712664070060000,Directed
114203360,211807874,Directed
114203360,1547026346961820000,Directed
114203360,1017066644512930000,Directed
114203360,1452928402403380000,Directed
114203360,1569722837686160000,Directed
114203360,1636945902685370000,Directed
114203360,990123776900710000,Directed
114203360,1464461950415420000,Directed
114203360,1442672697603870000,Directed
114203360,1636984080741850000,Directed
114203360,1091578335442880000,Directed
114203360,1622962027869380000,Directed
114203360,1403079211955410000,Directed
114203360,1021046820271680000,Directed
114203360,827435099763441000,Directed
114203360,1636967117315770000,Directed
114203360,1299278169304770000,Directed
114203360,1635770487341990000,Directed
114203360,1472217348580920000,Directed
114203360,1538694096767680000,Directed
114203360,1636378832143020000,Directed
114203360,1572483401416060000,Directed
114203360,900253176,Directed
114203360,1570716924971210000,Directed
114203360,1442017112344590000,Directed
114203360,1636816788129230000,Directed
114203360,1357191327461510000,Directed
114203360,1458739087540690000,Directed
114203360,1599591362726280000,Directed
114203360,791161238596255000,Directed
114203360,3124272918,Directed
114203360,1614515180742020000,Directed
114203360,788591737,Directed
114203360,1629868032662160000,Directed
114203360,1534925412819560000,Directed
114203360,1636363824063470000,Directed
114203360,1180177391768870000,Directed
114203360,1621054794512350000,Directed
114203360,1630426469901160000,Directed
114203360,1256488477601870000,Directed
114203360,1450434534307090000,Directed
114203360,1598258583572920000,Directed
114203360,1633535815719470000,Directed
114203360,1590416414006910000,Directed
114203360,1363032490470850000,Directed
114203360,1623202515117570000,Directed
114203360,1636013505643150000,Directed
114203360,1390845944804030000,Directed
114203360,1635216400078780000,Directed
114203360,1556286399745180000,Directed
114203360,1339435230495710000,Directed
114203360,1257178588358540000,Directed
114203360,1560577671339240000,Directed
114203360,950763668072886000,Directed
114203360,1648879015,Directed
114203360,1489689304452710000,Directed
114203360,1636580987642550000,Directed
114203360,1585290354160720000,Directed
