Links,Store_Name,Rating,Number_of_Reviews,Store_Type,Address
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7ce19f681623b:0x9ecb22ce4fb2aa05!8m2!3d18.9521524!4d72.8222141!16s%2Fg%2F11q2vmw4ph!19sChIJO2KB9hnO5zsRBaqyT84iy54?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.8,5.0,Health and beauty shop,"Shop #1, CRYSTAL 251, Jagannath Shankar Seth Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c974b794b725:0xe4681203f0c7a7c8!8m2!3d19.1139573!4d72.8892687!16s%2Fg%2F11sjw4tv4l!19sChIJJbeUt3TJ5zsRyKfH8AMSaOQ?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,0.0,0.0,Health and beauty shop,"Shop No 2, Puttagowda Samaraka Bhavana, T Narasipura, Link Road"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7ce4197d69add:0xa037677c096b7232!8m2!3d18.9577536!4d72.8397521!16s%2Fg%2F1ptwhl8y2!19sChIJ3ZrWl0HO5zsRMnJrCXxnN6A?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.5,8.0,Health and beauty shop,"Shop No. 5, Building No.44-E,Ismailia Co-Op. Hsg. Soc., Clare Road, Byculla"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7b0d7387b0e07:0x5114299344139032!8m2!3d19.231058!4d72.856563!16s%2Fg%2F11gdkx3sd5!19sChIJBw57ONew5zsRMpATRJMpFFE?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.3,16.0,Health and beauty shop,"Shop No 6, Gora Gandhi Appts, Chandavarkar Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c93ddbdc626b:0xf3b31cd8c90ecdb1!8m2!3d19.2258775!4d72.847107!16s%2Fg%2F1tjxd3n1!19sChIJa2Lc2z3J5zsRsc0Oydgcs_M?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.2,30.0,Health and beauty shop,"Rizvi House B Plot No 34-35-A And 36A Tps, Ii, Hill Road"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7d1913bfa1b47:0x87e03621381d2588!8m2!3d18.911216!4d72.820923!16s%2Fg%2F1td51xfs!19sChIJRxv6O5HR5zsRiCUdOCE24Ic?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.6,9.0,Health and beauty shop,"Shop No. 7, Punitha, Colaba Road"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bae13722d09a123:0xf0fccacf430d6970!8m2!3d18.7359149!4d73.0948217!16s%2Fg%2F11f_8bpd2k!19sChIJI6EJLXITrjsRcGkNQ8_K_PA?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.2,18.0,Health and beauty shop,"Ground Floor, Gala No 05, Narayni Apprtment, near Laxmi Bekri"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7b045c01ff035:0x8a05bad94a94255!8m2!3d19.2819457!4d72.8811089!16s%2Fg%2F11g027qph0!19sChIJNfAfwEWw5zsRVUKplK1boAg?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.1,9.0,Health and beauty shop,"Shop # 2, BUILDING-9, Siddharth Nagar Main Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Company/data=!4m7!3m6!1s0x3be7b6f6ab6c02eb:0x53ca04bbd56d2e7b!8m2!3d19.1774581!4d72.8337542!16s%2Fg%2F11fxc7whyc!19sChIJ6wJsq_a25zsRey5t1bsEylM?authuser=0&hl=en&rclk=1,Himalaya Wellness Company,4.6,24.0,Corporate office,"Aalind Fortuna, A 302, 3rd Floor, A Wing, opp. Hotel Grand Hometel"
https://www.google.com/maps/place/Himalaya+Herbal+Health+Care/data=!4m7!3m6!1s0x3be7cf28797aa913:0xa4865ac21052ac57!8m2!3d19.0360492!4d72.8515904!16s%2Fg%2F1th7lcd3!19sChIJE6l6eSjP5zsRV6xSEMJahqQ?authuser=0&hl=en&rclk=1,Himalaya Herbal Health Care,3.0,6.0,Pharmacy,"King's Circle, Shop No. 468, Kalyan Bhavan, Opp. Maheshwari Garden, Dr Baba Saheb Ambedkar Rd"
https://www.google.com/maps/place/Himalaya/data=!4m7!3m6!1s0x3be7c93fac429961:0xeda2c3650a10f984!8m2!3d19.0555117!4d72.83148!16s%2Fg%2F11rgd9qcdl!19sChIJYZlCrD_J5zsRhPkQCmXDou0?authuser=0&hl=en&rclk=1,Himalaya,5.0,1.0,Health and beauty shop,"SHOP NO 9, RIZVI HOUSE, PLOT NO 34-A,, TPS 2, Hill Rd, near POLICE STATION"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bc2c103eed8aa67:0x8c5b9bde34fa7e9c!8m2!3d18.5397001!4d73.8940141!16s%2Fg%2F11f_3yww_z!19sChIJZ6rY7gPBwjsRnH76NN6bW4w?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.4,26.0,Health and beauty shop,"Shop # 4, MIT Corner, N Main Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bc2bf300b903285:0x355d0450df0d0fa2!8m2!3d18.5604661!4d73.808043!16s%2Fg%2F11c6lf18bq!19sChIJhTKQCzC_wjsRog8N31AEXTU?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.1,100.0,Health and beauty shop,"Shop No.1, Rajravi Co-Op Hsg Society Plot No.6, Survey No.157, DP Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bc2bedf2913caa7:0x16b73840e28568ca!8m2!3d18.5525294!4d73.7921518!16s%2Fg%2F11gf60td_b!19sChIJp8oTKd--wjsRymiF4kA4txY?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,0.0,0.0,Health and beauty shop,"18 High Street, Baner - Pashan Link Rd, opposite Badshahi Dining Hall"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bc2bf88687e4e7b:0xd18c42e400f897c1!8m2!3d18.51557!4d73.839714!16s%2Fg%2F11f_zjrzfr!19sChIJe05-aIi_wjsRwZf4AORCjNE?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.4,11.0,Health and beauty shop,"Ground Floor, Shop No.759, 54, Deccan Gymkhana Rd, near Chitale Mithaiwale"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3bc2c048ea69fc37:0x63252c21f0e5dd11!8m2!3d18.5174492!4d73.8791309!16s%2Fg%2F1tf6knbc!19sChIJN_xp6kjAwjsREd3l8CEsJWM?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.3,33.0,Health and beauty shop,"Shop No 4C 1, Opp: Maha Nagar Cafe, Abbas Chamber, MG Road"
https://www.google.com/maps/place/Himalaya+Ayurved+Bhandar/data=!4m7!3m6!1s0x3be7e85d56c1f3ef:0x3509fb5291936069!8m2!3d18.9915889!4d73.1234611!16s%2Fg%2F11clwn0cyb!19sChIJ7_PBVl3o5zsRaWCTkVL7CTU?authuser=0&hl=en&rclk=1,Himalaya Ayurved Bhandar,3.8,5.0,Pharmacy,"Prajapati Arcade ,Shop No -19,Plot No -22, 23"
https://www.google.com/maps/place/Himalaya+Herbal+Health+Care/data=!4m7!3m6!1s0x3be7ce307f719891:0x8df95d4df89f7a7!8m2!3d18.9552034!4d72.838748!16s%2Fg%2F1tfg1k6y!19sChIJkZhxfzDO5zsRp_eJ39SV3wg?authuser=0&hl=en&rclk=1,Himalaya Herbal Health Care,4.3,3.0,Herb shop,"XR4Q+3FQ, Silver Tower, Clear Road"
