date,content,username,likes,views,hashtags,url
2023-02-01,"@CCRAS_MoAyush  @baidyanathgroup  @DaburIndia  @HimalayaIndia  @moayush  @WOWSkinScience 
#SamsungUnpacked  #BABYMONSTER  #TheLastOfUs  #TeacherStrike  #LUCAS  #MAFSAU  #PeshawarBleedsAgain  #EnoughIsEnough https://t.co/oujVwvoh7O",Rocus00,0,248,"['SamsungUnpacked', 'BABYMONSTER', 'TheLastOfUs', 'TeacherStrike', 'LUCAS', 'MAFSAU', 'PeshawarBleedsAgain', 'EnoughIsEnough']",https://twitter.com/Rocus00/status/1620871129475993600
2023-02-01,"@AyurvedaMonk @HimalayaIndia सन्दर्भ :  लोग आँख बंद कर के बड़े ब्रांड  की नकली चीजो पर भरोसा कर लेते हैं क्यूँकि वो ब्रांड है 
वहीं लोकल उद्यमी यदि असली चीज़ भी बेच रहे हों उस पर भरोसा नहीं कर पाते",Krishna57781389,2,111,,https://twitter.com/Krishna57781389/status/1620862452735873063
2023-02-01,"@HimalayaIndia 
Im not gonna use a single product manufactured by this company from here on.",sheetij_sood,0,109,,https://twitter.com/sheetij_sood/status/1620839551676841984
2023-02-01,"@theliverdr Pg1.

""1. ...leading wellness companies""

""2. ...portfolio of wellness products""

@HimalayaIndia  

Pls launch a new product &amp; Start selling empty cap. shells 

Market them as ""life enhancing O₂ direct from Himalayas""

Atleast 1 of your products will be backed by actual science.",EntropicEq,0,139,,https://twitter.com/EntropicEq/status/1620701101682212864
2023-02-01,@AyurvedaMonk @HimalayaIndia What about hamdard?,cyber5knight,1,69,,https://twitter.com/cyber5knight/status/1620697594942074880
2023-02-01,"@AyurvedaMonk @HimalayaIndia What about Patanjali sir, is it real a Ayurvedic company?",AherAlok,1,305,,https://twitter.com/AherAlok/status/1620681654795915264
2023-02-01,"@sereneloud @AyurvedaMonk @HimalayaIndia Oops. Sorry I didn't realise you were an ayurvedic consultant earlier..

I think such companies only bring disrepute to Ayurveda. People take such drugs expecting miracle cures and then blame ayurveda when they don't get relief.",PChandr43659403,2,107,,https://twitter.com/PChandr43659403/status/1620660149479415809
2023-02-01,"@PChandr43659403 @AyurvedaMonk @HimalayaIndia Very well said, precisely the reason I called them Herbal medicine company and not Ayurvedic",sereneloud,2,80,,https://twitter.com/sereneloud/status/1620654846985773056
2023-02-01,@sereneloud @AyurvedaMonk @HimalayaIndia It's only maligning ayurveda. Ayurveda isn't about drugs suppressing symptoms but lot more holistic addressing the root causes. Similar external symptoms may be treated with totally different dietary regimen &amp; medicines for different people based on the Tridosha principle.,PChandr43659403,3,80,,https://twitter.com/PChandr43659403/status/1620652739507412993
2023-02-01,"@AyurvedaMonk @HimalayaIndia I guess ""esoteric knowledge"" is a good euphemism for ""financial incentives"". :)",PChandr43659403,1,31,,https://twitter.com/PChandr43659403/status/1620652034721730560
2023-02-01,"@AyurvedaMonk @HimalayaIndia My understanding is that Himalaya although uses Ayurvedic herbs in their products justifies their action on modern principles. So it is more Herbology than Ayurveda. But then it is a win win situation for all 3 parties- Ayurveda, Allopathy n Himalayas themselves",sereneloud,2,499,,https://twitter.com/sereneloud/status/1620649938513428481
2023-02-01,@AyurvedaMonk @HimalayaIndia I buy SKM brand . Is that good ?,mytechshout07,1,492,,https://twitter.com/mytechshout07/status/1620647414716825600
2023-02-01,@MrAnkit26599 @AyurvedaMonk @HimalayaIndia Dootpapeshwar is better than Dabur/Vaidyanathan for many products. Specially Arogyavardhani... https://t.co/dowNgbFTuw,GauravBLJ,1,186,,https://twitter.com/GauravBLJ/status/1620647404801503234
2023-02-01,"@AyurvedaMonk @HimalayaIndia In my city only two companies products considered to be Ayurvedic 1) Dabur 2) Vaidynath
Doctor can you tell me, are these trustworthy?",MrAnkit26599,1,625,,https://twitter.com/MrAnkit26599/status/1620643668221923328
2023-02-01,@AyurvedaMonk @HimalayaIndia 😂,santumaiti24,1,34,,https://twitter.com/santumaiti24/status/1620640999675662336
2023-02-01,"thing is that Ayurveda was nowhere in the midst of all this)

Even more interesting thing is that the MR of @HimalayaIndia give so much esoteric knowledge of #Ayurveda to Allopathy Dr in few minutes meeting that the Dr start selling @HimalayaIndia med. from the very next day
😂",AyurvedaMonk,17,1336,['Ayurveda'],https://twitter.com/AyurvedaMonk/status/1620639022531112960
2023-02-01,"Most of the Qualified Ayurveda Dr don’t consider @HimalayaIndia products as #Ayurveda med.

@HimalayaIndia also focus on Allopathy Dr. to sell their drugs (&amp; not Ayurveda Dr)

Now both Himalaya company &amp; Allopathy Dr. r fighting with each other to malign Ayurveda 😂
(&amp; the funny",AyurvedaMonk,79,5179,['Ayurveda'],https://twitter.com/AyurvedaMonk/status/1620639019188248576
2023-02-01,@hardik_rathod @HimalayaIndia Global standard manufacturing @theliverdr,romac724,0,76,,https://twitter.com/romac724/status/1620574687863656448
2023-02-01,@nanditaasn @HimalayaIndia @theliverdr,romac724,0,64,,https://twitter.com/romac724/status/1620574025037799425
2023-01-31,@HimalayaIndia Such a shame!!!! Spread the word..,foxanarchist,1,96,,https://twitter.com/foxanarchist/status/1620519108709339136
2023-01-31,@HimalayaIndia https://t.co/ncf9tQCdJC,vikrameffects,0,128,,https://twitter.com/vikrameffects/status/1620449332519632907
2023-01-31,Today is the day I stop using @HimalayaIndia massage oil.,prashantry,1,308,,https://twitter.com/prashantry/status/1620445555158810624
2023-01-31,Pseudoscience giant @HimalayaIndia tried to threaten a well-intentioned doctor @theliverdr who exposed toxicity of their products and unfounded claims. It didn’t fly.,shinsmon,88,9757,,https://twitter.com/shinsmon/status/1620443647476133888
2023-01-31,"@HimalayaIndia What a pathetic cocktail one has to manufacture that even after 100 clinical studies, all you can glee about is it has no serious concerns. 

Does that mean  #liv52 has 
- mild and moderate concerns?
- absolutely NO benefit?

We stand with @theliverdr. https://t.co/qJLuQ3anrD",vnvdvc312,0,39,['liv52'],https://twitter.com/vnvdvc312/status/1620439840398651393
2023-01-31,@HimalayaIndia https://t.co/nYahIoOEhP,prasadpant23,0,34,,https://twitter.com/prasadpant23/status/1620439064762798080
2023-01-31,"Big Ayurveda aka @HimalayaIndia attacks doctors who are actually helping people get better, unlike Ayurveda's dodgy false claims. Good job scums, spreading poison literally and metaphorically.",saarth,2,210,,https://twitter.com/saarth/status/1620435528763187201
2023-01-31,@HimalayaIndia https://t.co/V9dFsV4bl4,dinkoyist,0,132,,https://twitter.com/dinkoyist/status/1620423201678569476
2023-01-31,Support Liver doc. @HimalayaIndia are fraudsters.,dinkoyist,1,114,,https://twitter.com/dinkoyist/status/1620422745552216064
2023-01-31,@theliverdr @HimalayaIndia Brace yourself 😈,prasadpant23,0,41,,https://twitter.com/prasadpant23/status/1620395346361978881
2023-01-31,"@drcheruvarun @HimalayaIndia Himalayan and Patanjali, Two big fraud, They fool people by using sentiments",abhibest83,1,96,,https://twitter.com/abhibest83/status/1620349709394268160
2023-01-31,@KoVeIyer @theliverdr @HimalayaIndia your claiming your herbal medicine does not effect the liver and is stamped probably by a Ayurvedic doctor. A case in court will be an embarrassment for the company.,SmartyPantBot,1,65,,https://twitter.com/SmartyPantBot/status/1620343665347686406
2023-01-31,"@theliverdr @HimalayaIndia saying that their Liv52 medicine works and has no effects on the liver to a liver doctor 🤦‍♂️, Irony much",SmartyPantBot,1,145,,https://twitter.com/SmartyPantBot/status/1620342601198235648
2023-01-31,"Liv 52 is very common medicine, somebody in your immediate knowledge must be already using it. Do not ignore below tweets, expose the Himalayan fraud
@HimalayaIndia",Bhopalee,0,106,,https://twitter.com/Bhopalee/status/1620301950041608192
2023-01-31,"Is this evidence @HimalayaIndia. After reading this, we can conclude liv 52 is good for nothing.",Drgodvin,0,247,,https://twitter.com/Drgodvin/status/1620299938503741442
2023-01-31,"I’m pretty much sure that Liv 52 is not that hard to find, somebody in your family is already using it. Do not ignore below tweets, expose the Himalayan fraud. 

@HimalayaIndia",comradarjun,5,996,,https://twitter.com/comradarjun/status/1620295845458616322
2023-01-31,Himalayan fraud. Shame on you @HimalayaIndia for this cheap tactic.,drcheruvarun,52,8197,,https://twitter.com/drcheruvarun/status/1620292871139250178
2023-01-31,@moayush  @DalaiLama  @DaburIndia  @HimalayaIndia  @baidyanathayur @CCRAS_MoAyush  @WOWSkinScience  @rahulvaidya23  #TheLastOfUs  #BBTitians2023  #TheLastOfUsHBO  #fearwomen  #Peshawarunderattack  #Iran #NimritKaurAhluwalia #NCT127_Say_AyYo https://t.co/4mBGjjBxeH,Rocus00,2,200,"['TheLastOfUs', 'BBTitians2023', 'TheLastOfUsHBO', 'fearwomen', 'Peshawarunderattack', 'Iran', 'NimritKaurAhluwalia', 'NCT127_Say_AyYo']",https://twitter.com/Rocus00/status/1620238847123820544
2023-01-30,"@AIIA_NDelhi  @moayush  @DaburIndia  @baidyanathgroup  @HimalayaIndia  @vedicmc  @AyushmanNHA  @BabaRampuri 
#esland2023  #ayurveda  #BBTitans  #Iran  #AFCChampionship  #Petrol  #GOAT𓃵  #Adaniscam  #AdaniFPO  #90DayFianceTheOtherWay https://t.co/97WHogzxEJ",Rocus00,1,503,"['esland2023', 'ayurveda', 'BBTitans', 'Iran', 'AFCChampionship', 'Petrol', 'GOAT𓃵', 'Adaniscam', 'AdaniFPO', '90DayFianceTheOtherWay']",https://twitter.com/Rocus00/status/1619928418958839811
2023-01-29,@PypAyurved @pyptharidwar  @PParidhan @yogrishiramdev @Ach_Balkrishna @Patanjali_foods @PatanjaliDairy @OfficeofSRamdev  @HimalayaMEN @HimalayaIndia @BailKolhuOils https://t.co/Sf55c5JvBt,kuldeep11y,0,125,,https://twitter.com/kuldeep11y/status/1619775272081063941
2023-01-29,@PypAyurved @pyptharidwar  @PParidhan @yogrishiramdev @Ach_Balkrishna @Patanjali_foods @PatanjaliDairy @OfficeofSRamdev  @HimalayaMEN @HimalayaIndia @BailKolhuOils https://t.co/z26L32mKh3,kuldeep11y,0,132,,https://twitter.com/kuldeep11y/status/1619775185875513344
2023-01-29,"@mahesh_dadhich @HimalayaIndia @BpsmV Congratulations to prize winning students and best wishes to all those , who are persuing their career in AYUSH.",bijaysombansi,1,28,,https://twitter.com/bijaysombansi/status/1619595373173157888
2023-01-29,@mahesh_dadhich @HimalayaIndia @BpsmV Congratulation for them,vdsandeep0507,1,34,,https://twitter.com/vdsandeep0507/status/1619554986479984645
2023-01-29,"4 students of BAMS final year 20-21 and 21-22 batch from MSMIOA, BPSMV were honored with Jivak (₹15000/-) and Ayuvisharad (₹10000/-) awards by Himalaya Drug Company.
Congratulations to awardee students and thanks to Himalaya drug co for this.
@HimalayaIndia 
@BpsmV https://t.co/mgAFE1IicN",mahesh_dadhich,21,477,,https://twitter.com/mahesh_dadhich/status/1619545070298091520
2023-01-28,#himalaya @HimalayaIndia come and take back your honey or suger only you know. https://t.co/6Teq66sX1Z,sumit3770,1,35,['himalaya'],https://twitter.com/sumit3770/status/1619236826157547527
2023-01-27,"@HimalayaIndia 
Pls doctor contact number",AmitKum74929446,0,7,,https://twitter.com/AmitKum74929446/status/1618850350974537729
2023-01-27,@HimalayaIndia Kindly start the manufacturing of himalaya Bael Tablets.,KASHJTWITSS,0,20,,https://twitter.com/KASHJTWITSS/status/1618803989990244357
2023-01-26,@madan3 @HimalayaIndia,JMaharajam,0,139,,https://twitter.com/JMaharajam/status/1618671127391514625
2023-01-25,@PypAyurved @pyptharidwar  @PParidhan @yogrishiramdev @Ach_Balkrishna @Patanjali_foods @PatanjaliDairy @OfficeofSRamdev  @HimalayaMEN @HimalayaIndia @BailKolhuOils https://t.co/XmzvJOcZK7,kuldeep11y,0,80,,https://twitter.com/kuldeep11y/status/1618395524197154816
2023-01-25,"@CCRAS_MoAyush @moayush  @DaburIndia  @DaburGlucose  @HimalayaIndia  @baidyanathgroup 
#PathaanReview  #Pathan  #MicrosoftTeams  #Oscars2023  #BABYMONSTER  #PathaanFirstDayFirstShow  #bondee https://t.co/pImHD8iDCS",Rocus00,0,268,"['PathaanReview', 'Pathan', 'MicrosoftTeams', 'Oscars2023', 'BABYMONSTER', 'PathaanFirstDayFirstShow', 'bondee']",https://twitter.com/Rocus00/status/1618335310798290944
2023-01-25,"@CCRAS_MoAyush  @HimalayaIndia  @mamaearthindia  @PypAyurved  @WHO  @DaburIndia 
#PathaanReview  #earthquake  #DeepikaPadukone  #Oscars2023 #WeLoveBuild #Ukraine #KisiKaBhaiKisiKiJaan https://t.co/aA9wtf1cii",Rocus00,0,118,"['PathaanReview', 'earthquake', 'DeepikaPadukone', 'Oscars2023', 'WeLoveBuild', 'Ukraine', 'KisiKaBhaiKisiKiJaan']",https://twitter.com/Rocus00/status/1618291161172705280
2023-01-25,"The #HimalayaWellnessCompany commemorates the spirit of our country and its ability to stand together during tough times. As we step into our 74th #RepublicDay, let’s pledge to find strength in our unity &amp; become the nation our forefathers wanted us to be.
#HappyRepublicDay! https://t.co/JvtnEp38O5",HimalayaIndia,13,1050,"['HimalayaWellnessCompany', 'RepublicDay', 'HappyRepublicDay']",https://twitter.com/HimalayaIndia/status/1618197659369488385
2023-01-25,"@AimilLtd @WHO  @NIH  @CCRAS_MoAyush  @moayush  @PypAyurved  @DaburIndia  @himalayanorg  @HimalayaIndia  @mamaearthindia  
#Leopard  #BuildJakapan  #Oscars2023  #ForaFred  #Trending  #trendingvideo  #trending2023  #Ayurveda https://t.co/MYMvF2ToJ3",Rocus00,0,127,"['Leopard', 'BuildJakapan', 'Oscars2023', 'ForaFred', 'Trending', 'trendingvideo', 'trending2023', 'Ayurveda']",https://twitter.com/Rocus00/status/1618184002749485057
2023-01-25,Har Ghar Har Din Ayurveda- @CGI Medan organised a talk on Ayurveda to spread awareness about Ayurveda. Event was partnered with @HimalayaIndia @usuofficial @IndiaHamdard @ Royal Bee #AzadiKaAmritMahotsav #Ayurveda https://t.co/LZfUj9FHjA,indiainmedan,9,1410,"['AzadiKaAmritMahotsav', 'Ayurveda']",https://twitter.com/indiainmedan/status/1618143432475828225
2023-01-25,@HimalayaIndia Excellent Sir 🙏🏻,Santosh72559658,0,6,,https://twitter.com/Santosh72559658/status/1618059326157115393
2023-01-24,@HimalayaIndia Congratulations,naveedahmedm,1,70,,https://twitter.com/naveedahmedm/status/1617722433175433220
2023-01-23,@HimalayaIndia Great sir 👏👏👏👏,Mohamma56496408,1,72,,https://twitter.com/Mohamma56496408/status/1617519767119867908
2023-01-23,@DrVaidyas @facescanada @FastandUp_India @ForestEssential @HappiloIndia @ILoveLakme @health_xp @HimalayaIndia @JustHerbsIndia @KamaAyurveda @kapiva_official @TrayaHealth @mamaearthindia @khadinatural @leafstudiosin @minimalist @Mivi_Official @my_mokobara @mothersparsh,theashwin007,0,104,,https://twitter.com/theashwin007/status/1617483574651031563
2023-01-23,Himalaya’s new manufacturing facility in Tumakuru received the first #ISO certification: EMS (ISO 14001:2015) and OH&amp;S (ISO 45001:2018) from NQA Certification Pvt. Ltd. for effectively implementing and building good #safety culture and practices on the campus. #HimalayaWellness https://t.co/QBnGKDYWZX,HimalayaIndia,20,1283,"['ISO', 'safety', 'HimalayaWellness']",https://twitter.com/HimalayaIndia/status/1617375889024749568
2023-01-20,@theliverdr @HimalayaIndia,harishm31,0,186,,https://twitter.com/harishm31/status/1616520774604709888
2023-01-20,@theliverdr Only @HimalayaIndia neem facewash is a good product.,AurangzebRoad,0,403,,https://twitter.com/AurangzebRoad/status/1616427367135862784
2023-01-20,"@bindass_ladki @HimalayaIndia Don't post naked photos, you cannot undone it.",theonevik_,0,15,,https://twitter.com/theonevik_/status/1616394322563465216
2023-01-20,@bindass_ladki @HimalayaIndia Remove the post. She is naked.,theonevik_,0,18,,https://twitter.com/theonevik_/status/1616394189046157313
2023-01-20,@KASHJTWITSS @HimalayaIndia Yesterday I have sent the mail you can DM pl,Matinde19122360,0,7,,https://twitter.com/Matinde19122360/status/1616351019574906881
2023-01-20,@bindass_ladki @HimalayaIndia Don't know about himalaya but your nephew is so cute 😘,amitiscandid,1,29,,https://twitter.com/amitiscandid/status/1616327957362114563
2023-01-20,@DipanG118 @HimalayaIndia Are you this girl?.,Suprati79707576,0,2,,https://twitter.com/Suprati79707576/status/1616318950270447616
2023-01-20,@bindass_ladki @HimalayaIndia Cuteiii,MaynkKaswan1,0,31,,https://twitter.com/MaynkKaswan1/status/1616264124169850880
2023-01-20,@HimalayaIndia please sack the person who approved this lousy design. Thank you. https://t.co/b2bcwanIhU,DirJaiP,0,8,,https://twitter.com/DirJaiP/status/1616263132179222529
2023-01-19,@bindass_ladki @HimalayaIndia Cutepie God bless your nephew ♥️,suraj07329570,0,85,,https://twitter.com/suraj07329570/status/1616031518077640704
2023-01-19,@bindass_ladki @HimalayaIndia Cute baby https://t.co/F8CY1TF9qD,SanjayK62804705,0,145,,https://twitter.com/SanjayK62804705/status/1615968773898637312
2023-01-19,@bindass_ladki @HimalayaIndia Free publicity,UdtaDil,0,163,,https://twitter.com/UdtaDil/status/1615963762091241473
2023-01-19,@bindass_ladki @HimalayaIndia As Indians we have to learn to refrain from putting children on social media... privacy sent for a toss.... worst is naming them as well!,jogapj,4,162,,https://twitter.com/jogapj/status/1615963658886029314
2023-01-19,@bindass_ladki @HimalayaIndia ❣️😍,jeena203,1,221,,https://twitter.com/jeena203/status/1615961975657488384
2023-01-19,@bindass_ladki @HimalayaIndia How cute!!🥰,Sadhu1999,4,264,,https://twitter.com/Sadhu1999/status/1615961059684388864
2023-01-19,@bindass_ladki @HimalayaIndia ❤️🎈,goldylockzone0,1,243,,https://twitter.com/goldylockzone0/status/1615961022107652096
2023-01-19,@HimalayaIndia from 2 years u had been purchasing your products but this is the bitter experience of out of stock daiper from last 2 months. And till it won't upto Feb-23. https://t.co/JSifdFj6Uq,Milapvaishnav,0,13,,https://twitter.com/Milapvaishnav/status/1615895740936769536
2023-01-18,"@Twitter  @TwitterSports  @DaburIndia  @baidyanathgroup  @HimalayaIndia  @moayush  @ZanduCare  @KamaAyurveda  @mamaearthindia  @PypAyurved 
#ayurvedic  #ayurvedicmedicine  #PathaanTrailer  #embarrassing  #HockeyWorldCup  #OdishaForHockey  #Twitter https://t.co/5ZgBcBMY4Z",Rocus00,0,483,"['ayurvedic', 'ayurvedicmedicine', 'PathaanTrailer', 'embarrassing', 'HockeyWorldCup', 'OdishaForHockey', 'Twitter']",https://twitter.com/Rocus00/status/1615807037128208384
2023-01-18,@moayush  @PypAyurved  @HimalayaIndia  @DaburIndia  @_KeralaAyurveda  @ayushmedicine_  @Bamslol https://t.co/Pu1I0O1GaL,Rocus00,1,45,,https://twitter.com/Rocus00/status/1615806703148355585
2023-01-16,"Actual MRP is ₹196.
@bigbasket_com SP ₹220 that too after discount of ₹12 from MRP 232.
@HimalayaIndia pls clarify that u manufacture Diff MRP in Diff states? 
I checked n purchased in Blore.
Is this Scam/Loot?
@consumerforum_ @OnlineLegalInd @jagograhakjago @ConsumrConxion https://t.co/llO8bQ7boM",MKC1_Reddy,0,95,,https://twitter.com/MKC1_Reddy/status/1615012917082218496
2023-01-14,@chrisxmunn @HimalayaIndia https://t.co/36xnR2QrxW,gsik,0,223,,https://twitter.com/gsik/status/1614146561600270338
2023-01-14,@HimalayaIndia Very good initiative..! Thank you Himalaya..!,ejajmomin1,0,11,,https://twitter.com/ejajmomin1/status/1614072855582609411
